ISO,Metric,Scenario,Period,Value_Low,Value_Median,Value_High
GEO,tas_JJA,ssp2-45,Historical 1986-2005,65.3044665085756,65.8115128778323,66.2033250238887
GEO,tas_JJA,ssp2-45,Next decades 2020-2039,67.511571867308,68.8620850369348,70.9641891499199
GEO,tas_JJA,ssp2-45,Midcentury 2040-2059,68.7443813038894,70.1973904588888,72.30804790529
GEO,tas_JJA,ssp2-45,End of century 2080-2099,70.1352196079067,72.1689286897662,75.6909761588787
GGY,tas_JJA,ssp2-45,Historical 1986-2005,58.4540297598061,59.2791577894227,59.7888592223682
GGY,tas_JJA,ssp2-45,Next decades 2020-2039,59.7668740166854,61.2551883363105,62.7906224123603
GGY,tas_JJA,ssp2-45,Midcentury 2040-2059,60.7709610409791,61.9072954589147,64.0535083696087
GGY,tas_JJA,ssp2-45,End of century 2080-2099,60.7028020543943,62.7684109719467,65.2293522732403
GHA,tas_JJA,ssp2-45,Historical 1986-2005,77.9862134437078,78.2225601911853,78.4275684567659
GHA,tas_JJA,ssp2-45,Next decades 2020-2039,79.151083741873,79.4382539998947,79.9226513383542
GHA,tas_JJA,ssp2-45,Midcentury 2040-2059,79.8076122464519,80.2510416276261,80.8581479018016
GHA,tas_JJA,ssp2-45,End of century 2080-2099,80.4666914314474,81.33636324681,82.3815904718406
GIB,tas_JJA,ssp2-45,Historical 1986-2005,70.2424194335936,71.1067138671874,71.7038757324218
GIB,tas_JJA,ssp2-45,Next decades 2020-2039,72.2138446072825,73.344464111328,74.6585792647365
GIB,tas_JJA,ssp2-45,Midcentury 2040-2059,73.2796887238266,74.2905700683593,75.5466308017275
GIB,tas_JJA,ssp2-45,End of century 2080-2099,74.243273928999,75.7489593505858,77.4617003325557
GIN,tas_JJA,ssp2-45,Historical 1986-2005,76.4350451724849,76.6829853027188,76.7903807042921
GIN,tas_JJA,ssp2-45,Next decades 2020-2039,77.6490738070895,77.9967364835017,78.5481052117785
GIN,tas_JJA,ssp2-45,Midcentury 2040-2059,78.2589618150782,78.7392284470919,79.3831701337753
GIN,tas_JJA,ssp2-45,End of century 2080-2099,79.0236608014448,79.8874969162552,80.8724191105541
GLP,tas_JJA,ssp2-45,Historical 1986-2005,79.4109003316046,79.9158775694304,80.142588750674
GLP,tas_JJA,ssp2-45,Next decades 2020-2039,80.8839043059332,81.2985621165444,81.6702636145499
GLP,tas_JJA,ssp2-45,Midcentury 2040-2059,81.22728378022,81.7711681218644,82.2891695953306
GLP,tas_JJA,ssp2-45,End of century 2080-2099,81.8027001713171,82.491599923964,83.8203689694232
GMB,tas_JJA,ssp2-45,Historical 1986-2005,82.8868145979036,83.170596304131,83.3664568317307
GMB,tas_JJA,ssp2-45,Next decades 2020-2039,84.1030881000842,84.4957269577845,84.8782503022519
GMB,tas_JJA,ssp2-45,Midcentury 2040-2059,84.5615960445511,85.1479195178711,85.784541183265
